districts,avg_rainfall
ADILABAD,1003.9208684210527
ANANTPUR,652.2170964912281
ANDAMAN,2907.1142857142854
ANJAW,1020.5
ARARIA,1392.0916315789473
ARWAL,813.6200000000001
AURANGABAD_BR,1073.1080350877194
BAKSA,1987.9
BANKA,1239.7614205607476
BARPETA,2768.920912280702
BEGUSARAI,1107.1243362831858
BHABUA,1033.945198198198
BHAGALPUR,1202.4777807017545
BHOJPUR,1005.8592192982456
BONGAIGAON,2881.4666666666667
BUXAR,989.425
CACHAR,3264.384614035088
CHANDIGARH,677.0657894736842
CHANGLANG,1872.368745614035
CHHATTISGARH,1226.7704627027028
CHIRANG,3946.54
CHITOOR,879.1464473684211
CUDAPATH,673.8640087719299
DADRA AND NAGAR HAVELI,1693.4848981481482
DAMAN & DIU,1487.3049999999998
DARBHANGA,1141.639903508772
DARRANG,2735.2906818181814
DELHI,578.0037142857143
DHEMAJI,2162.8217663551404
DHUBRI,2238.9605789473685
DIBANG VALLEY,1669.6009469026549
DIBRUGARH,2214.555596491228
EAST CHAMPARAN,1194.202543859649
EAST GODAVRI,1031.8452631578948
EAST KAMENG,2030.1782368421052
EAST SIANG,2173.0852631578946
GAYA,1114.7439385964913
GOA,3235.6352941176474
GOLAGHAT,2161.418350877193
GOLAPARA,2642.1783245614038
GOPALGANJ,1035.4104690265488
GUJARAT,840.2877681220856
GUNTUR,801.337201754386
HAILAKANDI,3063.7927719298245
HARYANA,512.6623630514705
HIMACHAL PRADESH,873.2180380650277
HYDERABAD,846.9102368421053
JAHANABAD,1055.7365363636363
JAMMU AND KASHMIR,788.4000200752823
JAMUI,1198.240376146789
JHARKHAND,1281.2855279685966
JORHAT,2111.927210526316
KAMRUP,3388.1773119266054
KAMRUP METRO,1439.6399999999999
KAMRUP RURAL,1772.4599999999998
KARBI ANGLONG,3029.3166842105265
KARIMGANJ,2765.407464912281
KARIMNAGAR,943.5373245614036
KARNATAKA,1370.0334640804597
KATIHAR,1276.961149122807
KERALA,2592.051751851852
KHAGARIA,1134.026543859649
KHAMMAM,950.7339298245614
KISHANGANJ,1608.9003684210525
KOKRAJHAR,2610.0282719298248
KRISHNA,899.5031315789474
KURNOOL,560.736350877193
LAKHIMPUR,2217.6096754385962
LAKHISARAI,1132.537429906542
LAKSHADWEEP,1641.6166666666668
LOHIT,1914.8694298245614
LOWER  DIBANG VALLEY,4793.46
LOWER SUBANSIRI,1792.007072072072
MADHEPURA,1150.37475
MADHUBANI,1180.850096491228
MADHYA PRADESH,1029.9731390343222
MAHARASHTRA,1073.656828087886
MAHBUBNAGAR,679.5011315789474
MANIPUR,2875.0112091932456
MEDAK,855.026552631579
MEGHALAYA,3297.962884341637
MIZORAM,2900.6157348586808
MONGHYR,1156.3569210526316
MORIGAON,1559.3999999999999
MUZAFFARPUR,1133.1906754385964
NAGALAND,2019.412532988357
NAGAON,3284.8593245614034
NALANDA,1068.0616875
NALGONDA,749.3928037383178
NAMBARI,2710.30649122807
NAWADA,1153.2103738317755
NELLORE,869.9990701754386
NICOBAR,2588.975
NIZAMABAD,929.1465877192982
NORTH CACHAR HILLS,3417.460486238532
ODISHA,1313.1159994121106
PAPUMPARA,3370.383333333333
PATNA,1083.107640350877
PRAKASHAM,727.2550175438596
PUDUCHERRY,1106.3063457943924
PUNJAB,472.74291568123397
PURNEA,1316.9239649122806
RAJASTHAN,586.9066985213581
RANGAREDDY,813.4227719298245
ROHTAS,1048.0464649122807
SAHARSA,1140.4069210526316
SAMASTIPUR,1110.5773070175437
SARAN,1019.9818245614035
SHEIKHPURA,1118.926523364486
SHEOHAR,1166.531214953271
SHONITPUR,2268.8339912280703
SIBSAGAR,2122.5889736842105
SIKKIM,3400.6183789868664
SITAMARHI,1220.3150964912281
SIWAN,1017.4814912280701
SOUTH ANDAMAN,3058.7799999999997
SRIKAKULAM,977.9594736842106
SUPAUL,1210.6910530973453
TAMIL NADU,1169.3990109322806
TAWANG,2129.4691315789473
TINSUKIA,2104.585807017544
TIRAP,2063.8768157894738
TRIPURA,2639.27006013363
UDALGURI,1779.44
UPPER SIANG,2703.890909090909
UPPER SUBANSIRI,1661.1632719298248
UTTAR PRADESH,899.5000413254378
UTTARAKHAND,1100.7374076086955
VAISHALI,1079.4993660714285
VISHAKHAPATNAM,1099.138649122807
VIZIANAGARAM,1121.589850877193
WARANGAL,858.5466666666667
WEST BENGAL,1607.4321748046875
WEST CHAMPARAN,1345.886640350877
WEST GODAVRI,971.5563245614035
WEST KAMENG,2139.280736842105
WEST SIANG,1655.3983947368422
